epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.32171,1.67287,2.69226,1.53459,0.00808,0.85561,0.15217,0.07126,1.77673,3.33194,1.57838,0.000647059,0.000647059,0.000647059
2,9.76037,1.56694,2.076,1.47502,0.62834,0.28342,0.35215,0.19647,1.54356,2.45158,1.56154,0.00128771,0.00128771,0.00128771
3,12.9976,1.60341,1.97827,1.47682,0.22779,0.21925,0.14559,0.06467,1.83597,6.04231,1.9078,0.00190197,0.00190197,0.00190197
4,16.3861,1.56411,1.77646,1.44757,0.53949,0.35829,0.35761,0.1789,1.91668,2.54321,1.83601,0.0018812,0.0018812,0.0018812
5,19.7683,1.59305,1.71552,1.47279,0.63301,0.47965,0.52821,0.24302,1.59948,2.31589,1.95776,0.0018416,0.0018416,0.0018416
6,23.445,1.52259,1.61818,1.40876,0.6077,0.63102,0.63792,0.35897,1.52386,1.56691,1.51761,0.001802,0.001802,0.001802
7,27.2077,1.49954,1.53049,1.41878,0.61066,0.55358,0.59581,0.29932,1.55054,1.63674,1.46835,0.0017624,0.0017624,0.0017624
8,30.8487,1.48852,1.50196,1.41051,0.7052,0.54545,0.63305,0.34722,1.52439,1.44761,1.48416,0.0017228,0.0017228,0.0017228
9,34.1056,1.45686,1.38851,1.40384,0.66357,0.65396,0.67653,0.36517,1.66222,1.54034,1.64682,0.0016832,0.0016832,0.0016832
10,37.1792,1.42699,1.37359,1.36121,0.67017,0.62032,0.6928,0.38931,1.57199,1.43946,1.56125,0.0016436,0.0016436,0.0016436
11,40.1137,1.39303,1.34679,1.33367,0.70377,0.60963,0.67993,0.37422,1.66672,1.52088,1.72269,0.001604,0.001604,0.001604
12,44.7857,1.39035,1.30324,1.33759,0.75379,0.67127,0.73945,0.45288,1.40598,1.37479,1.37736,0.0015644,0.0015644,0.0015644
13,51.6368,1.36765,1.24843,1.31116,0.66395,0.61497,0.65182,0.37624,1.36519,1.38121,1.3737,0.0015248,0.0015248,0.0015248
14,58.1537,1.34918,1.23209,1.29018,0.6348,0.64138,0.68346,0.40478,1.3164,1.288,1.34529,0.0014852,0.0014852,0.0014852
15,64.7291,1.33968,1.23099,1.31123,0.6281,0.5508,0.61015,0.33691,1.44112,1.62903,1.46438,0.0014456,0.0014456,0.0014456
16,71.2417,1.32634,1.22156,1.28671,0.67833,0.69919,0.74258,0.44817,1.32154,1.2043,1.30872,0.001406,0.001406,0.001406
17,77.7694,1.31325,1.17987,1.27086,0.73594,0.68449,0.72639,0.42826,1.40004,1.19603,1.3574,0.0013664,0.0013664,0.0013664
18,84.4109,1.30639,1.18238,1.2783,0.7672,0.72193,0.75839,0.44042,1.23699,1.09948,1.28599,0.0013268,0.0013268,0.0013268
19,91.1849,1.24839,1.11842,1.23737,0.782,0.70053,0.78795,0.49298,1.34806,1.13434,1.31553,0.0012872,0.0012872,0.0012872
20,97.7999,1.23947,1.08087,1.23253,0.78948,0.6631,0.76641,0.48021,1.30476,1.14908,1.31512,0.0012476,0.0012476,0.0012476
21,104.371,1.24401,1.06103,1.24802,0.71889,0.72727,0.76214,0.48076,1.34214,1.05621,1.3443,0.001208,0.001208,0.001208
22,110.905,1.24098,1.07175,1.2323,0.78744,0.73262,0.78585,0.4776,1.44521,1.24162,1.44835,0.0011684,0.0011684,0.0011684
23,117.378,1.23989,1.04034,1.24266,0.81159,0.645,0.76981,0.47069,1.41173,1.24187,1.3389,0.0011288,0.0011288,0.0011288
